UserID,ExpID,TrialNumber,Condition,StartHeight(mm),TargetHeight(mm),FinalHeight(mm),Error(mm),CompletionTime(s)
14,Exp_20260319_161126,1,haptic,50.0,30.0,28.83,1.17,1.277
14,Exp_20260319_161126,2,haptic,10.0,20.0,21.07,1.07,1.656
14,Exp_20260319_161126,3,haptic,10.0,40.0,41.10,1.10,2.597
14,Exp_20260319_161126,4,haptic,30.0,40.0,40.34,0.34,1.201
14,Exp_20260319_161126,5,haptic,0.0,10.0,10.26,0.26,2.202
14,Exp_20260319_161126,6,haptic,20.0,30.0,29.58,0.42,1.822
14,Exp_20260319_161126,7,haptic,10.0,40.0,41.21,1.21,2.937
14,Exp_20260319_161126,8,haptic,0.0,30.0,31.20,1.20,2.280
14,Exp_20260319_161126,9,haptic,40.0,30.0,31.43,1.43,1.760
14,Exp_20260319_161126,10,haptic,40.0,0.0,1.82,1.82,3.242
14,Exp_20260319_161126,11,haptic,30.0,20.0,19.29,0.71,1.201
14,Exp_20260319_161126,12,haptic,20.0,10.0,9.28,0.72,1.855
14,Exp_20260319_161126,13,haptic,50.0,10.0,9.59,0.41,2.676
14,Exp_20260319_161126,14,haptic,0.0,40.0,41.55,1.55,3.899
14,Exp_20260319_161126,15,haptic,10.0,40.0,38.82,1.18,2.276
14,Exp_20260319_161126,16,haptic,40.0,0.0,-0.03,0.03,2.721
14,Exp_20260319_161126,17,haptic,50.0,20.0,18.92,1.08,2.777
14,Exp_20260319_161126,18,haptic,40.0,30.0,28.96,1.04,0.882
14,Exp_20260319_161126,19,haptic,10.0,30.0,30.77,0.77,3.779
14,Exp_20260319_161126,20,haptic,10.0,20.0,20.80,0.80,1.447
14,Exp_20260319_161126,21,haptic,0.0,20.0,20.05,0.05,2.223
14,Exp_20260319_161126,22,haptic,50.0,10.0,9.80,0.20,2.343
14,Exp_20260319_161126,23,haptic,50.0,20.0,20.62,0.62,2.338
14,Exp_20260319_161126,24,haptic,40.0,50.0,51.11,1.11,3.020
14,Exp_20260319_161126,25,haptic,40.0,20.0,18.42,1.58,2.477
14,Exp_20260319_161126,26,haptic,10.0,0.0,-0.72,0.72,1.678
14,Exp_20260319_161126,27,haptic,30.0,10.0,11.11,1.11,3.265
14,Exp_20260319_161126,28,haptic,0.0,20.0,19.76,0.24,3.121
14,Exp_20260319_161126,29,haptic,20.0,40.0,38.16,1.84,1.299
14,Exp_20260319_161126,30,haptic,0.0,50.0,49.08,0.92,1.866
14,Exp_20260319_161126,31,haptic,40.0,20.0,21.38,1.38,1.499
14,Exp_20260319_161126,32,haptic,30.0,40.0,39.85,0.15,1.244
14,Exp_20260319_161126,33,haptic,50.0,0.0,-0.31,0.31,3.002
14,Exp_20260319_161126,34,haptic,50.0,40.0,39.06,0.94,1.566
14,Exp_20260319_161126,35,haptic,20.0,0.0,-0.46,0.46,1.464
14,Exp_20260319_161126,36,haptic,50.0,30.0,29.83,0.17,1.580
14,Exp_20260319_161126,37,haptic,50.0,40.0,40.51,0.51,1.299
14,Exp_20260319_161126,38,haptic,30.0,10.0,9.98,0.02,0.844
14,Exp_20260319_161126,39,haptic,20.0,50.0,50.07,0.07,1.144
14,Exp_20260319_161126,40,haptic,30.0,50.0,50.04,0.04,0.962
14,Exp_20260319_161126,41,haptic,30.0,10.0,11.94,1.94,0.877
