UserID,ExpID,TrialNumber,TimeSinceTrialStart(s),DistanceToTarget(mm)
11,Exp_20260319_141709,1,0.012,10.04
11,Exp_20260319_141709,1,0.023,10.13
11,Exp_20260319_141709,1,0.034,10.26
11,Exp_20260319_141709,1,0.048,10.37
11,Exp_20260319_141709,1,0.057,10.48
11,Exp_20260319_141709,1,0.070,10.56
11,Exp_20260319_141709,1,0.079,10.64
11,Exp_20260319_141709,1,0.091,10.67
11,Exp_20260319_141709,1,0.102,10.71
11,Exp_20260319_141709,1,0.113,10.74
11,Exp_20260319_141709,1,0.125,10.68
11,Exp_20260319_141709,1,0.141,10.68
11,Exp_20260319_141709,1,0.151,10.65
11,Exp_20260319_141709,1,0.163,10.50
11,Exp_20260319_141709,1,0.172,10.38
11,Exp_20260319_141709,1,0.182,10.23
11,Exp_20260319_141709,1,0.196,10.02
11,Exp_20260319_141709,1,0.206,9.82
11,Exp_20260319_141709,1,0.218,9.51
11,Exp_20260319_141709,1,0.229,9.27
11,Exp_20260319_141709,1,0.239,9.00
11,Exp_20260319_141709,1,0.251,8.71
11,Exp_20260319_141709,1,0.263,8.49
11,Exp_20260319_141709,1,0.274,8.32
11,Exp_20260319_141709,1,0.285,8.10
11,Exp_20260319_141709,1,0.297,7.90
11,Exp_20260319_141709,1,0.306,7.60
11,Exp_20260319_141709,1,0.317,7.35
11,Exp_20260319_141709,1,0.327,7.24
11,Exp_20260319_141709,1,0.337,7.12
11,Exp_20260319_141709,1,0.348,7.03
11,Exp_20260319_141709,1,0.359,6.94
11,Exp_20260319_141709,1,0.374,6.85
11,Exp_20260319_141709,1,0.383,6.73
11,Exp_20260319_141709,1,0.393,6.64
11,Exp_20260319_141709,1,0.408,6.48
11,Exp_20260319_141709,1,0.413,6.30
11,Exp_20260319_141709,1,0.425,6.06
11,Exp_20260319_141709,1,0.433,5.93
11,Exp_20260319_141709,1,0.445,5.74
11,Exp_20260319_141709,1,0.456,5.54
11,Exp_20260319_141709,1,0.468,5.27
11,Exp_20260319_141709,1,0.483,5.00
11,Exp_20260319_141709,1,0.489,4.69
11,Exp_20260319_141709,1,0.500,4.31
11,Exp_20260319_141709,1,0.513,4.05
11,Exp_20260319_141709,1,0.523,3.77
11,Exp_20260319_141709,1,0.535,3.59
11,Exp_20260319_141709,1,0.547,3.41
11,Exp_20260319_141709,1,0.556,3.29
11,Exp_20260319_141709,1,0.567,3.21
11,Exp_20260319_141709,1,0.580,3.03
11,Exp_20260319_141709,1,0.593,2.80
11,Exp_20260319_141709,1,0.600,2.61
11,Exp_20260319_141709,1,0.612,2.47
11,Exp_20260319_141709,1,0.624,2.36
11,Exp_20260319_141709,1,0.634,2.37
11,Exp_20260319_141709,1,0.645,2.35
11,Exp_20260319_141709,1,0.656,2.33
11,Exp_20260319_141709,1,0.666,2.30
11,Exp_20260319_141709,1,0.682,2.24
11,Exp_20260319_141709,1,0.692,2.18
11,Exp_20260319_141709,1,0.703,2.10
11,Exp_20260319_141709,1,0.711,2.09
11,Exp_20260319_141709,1,0.722,2.05
11,Exp_20260319_141709,1,0.733,2.07
11,Exp_20260319_141709,1,0.744,2.06
11,Exp_20260319_141709,1,0.757,2.01
11,Exp_20260319_141709,1,0.766,1.85
11,Exp_20260319_141709,1,0.778,1.77
11,Exp_20260319_141709,1,0.790,1.71
11,Exp_20260319_141709,1,0.805,1.58
11,Exp_20260319_141709,1,0.812,1.45
11,Exp_20260319_141709,1,0.823,1.39
11,Exp_20260319_141709,1,0.834,1.40
11,Exp_20260319_141709,1,0.846,1.43
11,Exp_20260319_141709,2,0.011,-30.11
11,Exp_20260319_141709,2,0.024,-30.28
11,Exp_20260319_141709,2,0.033,-30.39
11,Exp_20260319_141709,2,0.044,-30.46
11,Exp_20260319_141709,2,0.055,-30.45
11,Exp_20260319_141709,2,0.067,-30.41
11,Exp_20260319_141709,2,0.078,-30.37
11,Exp_20260319_141709,2,0.091,-30.40
11,Exp_20260319_141709,2,0.100,-30.43
11,Exp_20260319_141709,2,0.111,-30.41
11,Exp_20260319_141709,2,0.122,-30.32
11,Exp_20260319_141709,2,0.133,-30.25
11,Exp_20260319_141709,2,0.144,-30.19
11,Exp_20260319_141709,2,0.155,-30.07
11,Exp_20260319_141709,2,0.167,-29.95
11,Exp_20260319_141709,2,0.180,-29.84
11,Exp_20260319_141709,2,0.192,-29.75
11,Exp_20260319_141709,2,0.200,-29.64
11,Exp_20260319_141709,2,0.211,-29.52
11,Exp_20260319_141709,2,0.222,-29.32
11,Exp_20260319_141709,2,0.235,-29.11
11,Exp_20260319_141709,2,0.244,-28.98
11,Exp_20260319_141709,2,0.255,-28.84
11,Exp_20260319_141709,2,0.267,-28.70
