UserID,ExpID,TrialNumber,Condition,StartHeight(mm),TargetHeight(mm),FinalHeight(mm),Error(mm),CompletionTime(s)
16,Exp_20260320_145317,1,midair,50.0,40.0,41.40,1.40,1.147
16,Exp_20260320_145317,2,midair,10.0,20.0,20.53,0.53,1.393
16,Exp_20260320_145317,3,midair,50.0,30.0,29.67,0.33,2.138
16,Exp_20260320_145317,4,midair,0.0,40.0,38.31,1.69,1.613
16,Exp_20260320_145317,5,midair,40.0,10.0,10.75,0.75,1.212
16,Exp_20260320_145317,6,midair,0.0,40.0,40.24,0.24,1.021
16,Exp_20260320_145317,7,midair,40.0,30.0,31.27,1.27,1.020
16,Exp_20260320_145317,8,midair,0.0,10.0,10.19,0.19,1.000
16,Exp_20260320_145317,9,midair,20.0,0.0,0.68,0.68,0.866
16,Exp_20260320_145317,10,midair,20.0,0.0,2.31,2.31,1.279
16,Exp_20260320_145317,11,midair,20.0,10.0,9.52,0.48,0.722
16,Exp_20260320_145317,12,midair,30.0,20.0,19.09,0.91,0.807
16,Exp_20260320_145317,13,midair,20.0,40.0,39.43,0.57,0.781
16,Exp_20260320_145317,14,midair,20.0,40.0,39.20,0.80,0.877
16,Exp_20260320_145317,15,midair,40.0,20.0,21.82,1.82,0.582
16,Exp_20260320_145317,16,midair,50.0,30.0,31.94,1.94,0.766
16,Exp_20260320_145317,17,midair,0.0,30.0,29.14,0.86,0.922
16,Exp_20260320_145317,18,midair,20.0,40.0,40.65,0.65,0.722
16,Exp_20260320_145317,19,midair,30.0,40.0,40.64,0.64,0.603
16,Exp_20260320_145317,20,midair,30.0,50.0,48.00,2.00,0.567
16,Exp_20260320_145317,21,midair,30.0,10.0,10.97,0.97,1.221
16,Exp_20260320_145317,22,midair,40.0,0.0,1.93,1.93,0.822
16,Exp_20260320_145317,23,midair,0.0,10.0,11.08,1.08,0.522
16,Exp_20260320_145317,24,midair,20.0,10.0,10.07,0.07,0.678
16,Exp_20260320_145317,25,midair,0.0,50.0,50.88,0.88,1.147
16,Exp_20260320_145317,26,midair,50.0,40.0,40.28,0.28,0.889
16,Exp_20260320_145317,27,midair,50.0,0.0,3.40,3.40,1.103
16,Exp_20260320_145317,28,midair,10.0,50.0,49.62,0.38,0.722
16,Exp_20260320_145317,29,midair,0.0,20.0,20.84,0.84,0.923
16,Exp_20260320_145317,30,midair,20.0,10.0,11.36,1.36,0.909
16,Exp_20260320_145317,31,midair,50.0,0.0,1.53,1.53,1.489
16,Exp_20260320_145317,32,midair,30.0,40.0,40.37,0.37,0.744
16,Exp_20260320_145317,33,midair,10.0,30.0,29.35,0.65,0.922
16,Exp_20260320_145317,34,midair,50.0,10.0,9.95,0.05,1.208
16,Exp_20260320_145317,35,midair,30.0,20.0,21.37,1.37,1.044
16,Exp_20260320_145317,36,midair,40.0,50.0,50.47,0.47,1.144
16,Exp_20260320_145317,37,midair,0.0,10.0,8.44,1.56,0.822
16,Exp_20260320_145317,38,midair,30.0,40.0,39.44,0.56,0.722
16,Exp_20260320_145317,39,midair,0.0,50.0,51.57,1.57,1.144
16,Exp_20260320_145317,40,midair,10.0,30.0,30.74,0.74,0.644
16,Exp_20260320_145317,41,midair,40.0,10.0,11.41,1.41,0.888
16,Exp_20260320_145317,42,midair,30.0,10.0,11.03,1.03,1.199
16,Exp_20260320_145317,43,midair,0.0,20.0,22.24,2.24,0.911
16,Exp_20260320_145317,44,midair,30.0,0.0,1.87,1.87,0.825
16,Exp_20260320_145317,45,midair,0.0,30.0,29.95,0.05,1.044
16,Exp_20260320_145317,46,midair,40.0,30.0,30.06,0.06,0.744
16,Exp_20260320_145317,47,midair,20.0,50.0,51.96,1.96,0.913
16,Exp_20260320_145317,48,midair,0.0,30.0,30.69,0.69,1.165
16,Exp_20260320_145317,49,midair,20.0,30.0,31.38,1.38,0.847
16,Exp_20260320_145317,50,midair,20.0,0.0,1.26,1.26,0.769
16,Exp_20260320_145317,51,midair,40.0,30.0,30.83,0.83,0.679
16,Exp_20260320_145317,52,midair,10.0,50.0,49.38,0.62,1.325
16,Exp_20260320_145317,53,midair,30.0,10.0,11.77,1.77,0.900
16,Exp_20260320_145317,54,midair,20.0,30.0,31.98,1.98,0.824
16,Exp_20260320_145317,55,midair,0.0,40.0,39.67,0.33,1.289
16,Exp_20260320_145317,56,midair,30.0,0.0,2.38,2.38,0.921
16,Exp_20260320_145317,57,midair,10.0,20.0,21.36,1.36,0.689
16,Exp_20260320_145317,58,midair,50.0,30.0,32.22,2.22,0.946
16,Exp_20260320_145317,59,midair,40.0,50.0,49.32,0.68,0.682
16,Exp_20260320_145317,60,midair,10.0,30.0,29.90,0.10,1.089
16,Exp_20260320_145317,61,midair,50.0,20.0,20.16,0.16,0.903
16,Exp_20260320_145317,62,midair,40.0,50.0,48.78,1.22,0.801
16,Exp_20260320_145317,63,midair,10.0,20.0,21.34,1.34,0.967
16,Exp_20260320_145317,64,midair,30.0,0.0,2.25,2.25,0.922
16,Exp_20260320_145317,65,midair,10.0,50.0,50.01,0.01,1.212
16,Exp_20260320_145317,66,midair,40.0,20.0,21.34,1.34,0.822
16,Exp_20260320_145317,67,midair,50.0,40.0,39.62,0.38,0.744
16,Exp_20260320_145317,68,midair,20.0,50.0,49.23,0.77,0.991
16,Exp_20260320_145317,69,midair,20.0,50.0,49.58,0.42,0.831
16,Exp_20260320_145317,70,midair,10.0,0.0,-0.34,0.34,0.608
16,Exp_20260320_145317,71,midair,10.0,40.0,38.99,1.01,0.865
16,Exp_20260320_145317,72,midair,50.0,10.0,12.17,2.17,0.922
16,Exp_20260320_145317,73,midair,10.0,0.0,0.21,0.21,0.322
16,Exp_20260320_145317,74,midair,30.0,20.0,20.15,0.15,0.544
16,Exp_20260320_145317,75,midair,40.0,20.0,22.07,2.07,0.982
16,Exp_20260320_145317,76,midair,50.0,20.0,24.01,4.01,0.801
16,Exp_20260320_145317,77,midair,30.0,50.0,48.81,1.19,0.844
16,Exp_20260320_145317,78,midair,30.0,50.0,49.12,0.88,0.922
16,Exp_20260320_145317,79,midair,0.0,50.0,48.86,1.14,0.977
16,Exp_20260320_145317,80,midair,40.0,10.0,11.69,1.69,1.214
16,Exp_20260320_145317,81,midair,40.0,0.0,1.40,1.40,1.259
16,Exp_20260320_145317,82,midair,10.0,40.0,39.02,0.98,0.989
16,Exp_20260320_145317,83,midair,10.0,0.0,-2.09,2.09,0.825
16,Exp_20260320_145317,84,midair,50.0,10.0,10.57,0.57,1.399
16,Exp_20260320_145317,85,midair,50.0,0.0,-0.58,0.58,1.644
16,Exp_20260320_145317,86,midair,10.0,40.0,38.04,1.96,0.689
16,Exp_20260320_145317,87,midair,0.0,20.0,20.39,0.39,1.044
16,Exp_20260320_145317,88,midair,40.0,0.0,-0.30,0.30,1.243
16,Exp_20260320_145317,89,midair,50.0,20.0,20.45,0.45,1.099
16,Exp_20260320_145317,90,midair,20.0,30.0,30.67,0.67,0.783
